video_id,title,description,upload_date,duration,category_id,view_count,like_count,comment_count,video_status,definition,average_view_duration,subscribers_gained,subscribers_lost
PhsF2ds65Io,sync ads FOV is broken in CODM,,2023-02-04T09:25:58Z,PT1M19S,20,1543,74,29,public,hd,39,3,2
7l62k06-E3s,LOADOUTS that will help you reach LEGENDARY rank in CODM,#codm #shorts,2021-11-20T06:53:59Z,PT36S,20,17980,1110,145,public,hd,31,100,10
5DSsIiSoZ1s,loadout that helped me reach global #5 for CBR,,2023-02-25T04:49:15Z,PT2M23S,20,1566,104,32,public,hd,65,7,3
Kq9EmawJBOE,3 nukes in a sesh with the bizon pp19 (Legendary Ranked),#codm #codmobile #nuke,2021-04-20T16:43:30Z,PT6M42S,20,1028,76,25,public,hd,76,2,0
OS45O01gNLk,Nuking toxic self-proclaimed nuke gods,,2023-03-05T16:01:17Z,PT3M42S,20,3383,238,115,public,hd,114,46,3
5yVLueePy_M,LaN breaks hearts,#codm #codmobile #shorts,2021-03-06T17:10:24Z,PT31S,20,6137,339,58,public,hd,26,30,1
9bF-ce6AFqY,iFerg says this skin is kinda P2W?,#codm #shorts,2021-11-23T04:50:07Z,PT52S,20,13166,638,110,public,hd,34,23,7
CTk9MymqDSM,3 Most RAREST Emotes I Own In CODM,#codm #shorts,2021-11-30T04:17:25Z,PT33S,20,13162,607,164,public,hd,23,23,6
jwJ1-gNjTUg,THIS AK117 BUILD HELPED ME NUKE TRYHARDS?,#codm #callofdutymobile #codmobile,2021-02-08T07:10:01Z,PT2M46S,20,893,70,20,public,hd,59,5,1
NoXiOYgbJOg,where can I get this gaming chair?,#codm #shorts,2021-05-24T08:55:51Z,PT49S,20,63894,2587,391,public,hd,38,109,15
1N9dvdJkDs0,CODM | Legendary Ranked Nuke (40-0) | No Stress,,2020-07-06T04:34:34Z,PT4M21S,20,644,46,11,public,hd,86,3,0
UExN4pSlcTE,spawn-trapped and then nuked him (CODM),#codm #codmobile #nuke,2021-04-24T09:33:55Z,PT2M10S,20,5121,304,61,public,hd,71,21,2
